Los Angeles Lakers,Denver Nuggets,2016-03-25 10:30:00,0,Local
Los Angeles Lakers,Washington Wizards,2016-03-27 09:30:00,0,Local
Utah Jazz,Los Angeles Lakers,2016-03-28 09:00:00,0,Local
Los Angeles Lakers,Miami Heat,2016-03-30 10:30:00,1,NBATV
Los Angeles Lakers,Boston Celtics,2016-04-03 09:30:00,0,Local
Los Angeles Clippers,Los Angeles Lakers,2016-04-05 10:30:00,1,TNT
Los Angeles Lakers,Los Angeles Clippers,2016-04-06 10:30:00,0,Local
New Orleans Pelicans,Los Angeles Lakers,2016-04-08 08:00:00,0,Local
Houston Rockets,Los Angeles Lakers,2016-04-10 03:30:00,0,Local
Oklahoma City Thunder,Los Angeles Lakers,2016-04-11 08:00:00,0,Local
Los Angeles Lakers,Utah Jazz,2016-04-13 10:30:00,1,ESPN
Brooklyn Nets,Chicago Bulls,2015-10-28 07:30:00,0,Local
San Antonio Spurs,Brooklyn Nets,2015-10-30 08:30:00,0,Local
Memphis Grizzlies,Brooklyn Nets,2015-10-31 08:00:00,0,Local
Brooklyn Nets,Milwaukee Bucks,2015-11-02 07:30:00,0,Local
Atlanta Hawks,Brooklyn Nets,2015-11-04 08:00:00,0,Local
Milwaukee Bucks,Brooklyn Nets,2015-11-07 08:30:00,0,Local
Houston Rockets,Brooklyn Nets,2015-11-11 08:00:00,0,Local
Sacramento Kings,Brooklyn Nets,2015-11-13 10:00:00,1,NBATV
Golden State Warriors,Brooklyn Nets,2015-11-14 10:30:00,0,Local
Brooklyn Nets,Atlanta Hawks,2015-11-17 07:30:00,0,Local
Charlotte Hornets,Brooklyn Nets,2015-11-18 07:00:00,0,Local
Boston Celtics,Brooklyn Nets,2015-11-20 07:30:00,0,Local
Brooklyn Nets,Boston Celtics,2015-11-22 06:00:00,0,Local
Oklahoma City Thunder,Brooklyn Nets,2015-11-25 08:00:00,0,Local
Cleveland Cavaliers,Brooklyn Nets,2015-11-28 07:30:00,0,Local
Brooklyn Nets,Detroit Pistons,2015-11-29 06:00:00,0,Local
Brooklyn Nets,Phoenix Suns,2015-12-01 07:30:00,0,Local
New York Knicks,Brooklyn Nets,2015-12-04 07:00:00,1,ESPN
Brooklyn Nets,Golden State Warriors,2015-12-06 06:00:00,0,Local
Brooklyn Nets,Houston Rockets,2015-12-08 07:30:00,0,Local
Brooklyn Nets,Philadelphia 76Ers,2015-12-10 07:30:00,0,Local
Brooklyn Nets,Los Angeles Clippers,2015-12-12 05:00:00,0,Local
Brooklyn Nets,Orlando Magic,2015-12-14 07:30:00,0,Local
Brooklyn Nets,Miami Heat,2015-12-16 07:30:00,0,Local
Indiana Pacers,Brooklyn Nets,2015-12-18 07:00:00,0,Local
Brooklyn Nets,Minnesota Timberwolves,2015-12-20 01:00:00,0,Local
Chicago Bulls,Brooklyn Nets,2015-12-21 08:00:00,0,Local
Brooklyn Nets,Dallas Mavericks,2015-12-23 07:30:00,0,Local
Brooklyn Nets,Washington Wizards,2015-12-26 04:00:00,0,Local
Miami Heat,Brooklyn Nets,2015-12-28 07:30:00,0,Local
Orlando Magic,Brooklyn Nets,2015-12-30 07:00:00,0,Local
Boston Celtics,Brooklyn Nets,2016-01-02 03:00:00,0,Local
Brooklyn Nets,Boston Celtics,2016-01-04 07:30:00,0,Local
Brooklyn Nets,Toronto Raptors,2016-01-06 07:30:00,0,Local
Brooklyn Nets,Orlando Magic,2016-01-08 07:30:00,0,Local
Detroit Pistons,Brooklyn Nets,2016-01-09 07:30:00,0,Local
Brooklyn Nets,San Antonio Spurs,2016-01-11 07:30:00,0,Local
Brooklyn Nets,New York Knicks,2016-01-13 07:30:00,0,Local
Brooklyn Nets,Portland Trail Blazers,2016-01-15 07:30:00,0,Local
Atlanta Hawks,Brooklyn Nets,2016-01-16 07:30:00,0,Local
Toronto Raptors,Brooklyn Nets,2016-01-18 07:30:00,0,Local
Brooklyn Nets,Cleveland Cavaliers,2016-01-20 07:30:00,0,Local
Brooklyn Nets,Utah Jazz,2016-01-22 07:30:00,0,Local
Brooklyn Nets,Oklahoma City Thunder,2016-01-24 03:30:00,0,Local
Brooklyn Nets,Miami Heat,2016-01-26 07:30:00,0,Local
Dallas Mavericks,Brooklyn Nets,2016-01-29 08:30:00,0,Local
New Orleans Pelicans,Brooklyn Nets,2016-01-30 07:00:00,0,Local
Brooklyn Nets,Detroit Pistons,2016-02-01 07:30:00,1,NBATV
Brooklyn Nets,Indiana Pacers,2016-02-03 07:30:00,0,Local
Brooklyn Nets,Sacramento Kings,2016-02-05 07:30:00,0,Local
Philadelphia 76Ers,Brooklyn Nets,2016-02-06 07:30:00,0,Local
Brooklyn Nets,Denver Nuggets,2016-02-08 07:30:00,0,Local
Brooklyn Nets,Memphis Grizzlies,2016-02-10 07:30:00,0,Local
Brooklyn Nets,New York Knicks,2016-02-19 07:30:00,0,Local
Brooklyn Nets,Charlotte Hornets,2016-02-21 06:00:00,0,Local
Portland Trail Blazers,Brooklyn Nets,2016-02-23 10:00:00,1,NBATV
Phoenix Suns,Brooklyn Nets,2016-02-25 09:00:00,0,Local
Utah Jazz,Brooklyn Nets,2016-02-27 09:30:00,0,Local
Los Angeles Clippers,Brooklyn Nets,2016-02-29 10:30:00,0,Local
Denver Nuggets,Brooklyn Nets,2016-03-04 09:00:00,0,Local
Minnesota Timberwolves,Brooklyn Nets,2016-03-05 08:00:00,0,Local
Toronto Raptors,Brooklyn Nets,2016-03-08 07:30:00,0,Local
Philadelphia 76Ers,Brooklyn Nets,2016-03-11 07:00:00,0,Local
Brooklyn Nets,Milwaukee Bucks,2016-03-13 08:00:00,0,Local
Brooklyn Nets,Philadelphia 76Ers,2016-03-15 07:30:00,0,Local
Chicago Bulls,Brooklyn Nets,2016-03-17 08:00:00,0,Local
Detroit Pistons,Brooklyn Nets,2016-03-19 07:00:00,0,Local
Brooklyn Nets,Charlotte Hornets,2016-03-22 07:30:00,0,Local
Brooklyn Nets,Cleveland Cavaliers,2016-03-24 07:30:00,0,Local
